stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type,stop_code
-37.01404,merged_30,174.9189,6975-20180725154052_v68.11,51098-20180725154052_v68.11,,47 Stratford Rd,0,6975
-36.89872,merged_29,174.80619,1320-20180702170310_v67.28,11606-20180702170310_v67.28,,Kalmia St for Ellerslie Primary,0,1320
-36.87748,merged_29,174.70321,8132-20180702170310_v67.28,61177-20180702170310_v67.28,,Opp 1433 Great North Rd,0,8132
-36.88817,merged_30,174.92104,6185-20180725154052_v68.11,31605-20180725154052_v68.11,,Bleakhouse Rd near Haseler Cres,0,6185
-36.88006,merged_30,174.74014,8308-20180725154052_v68.11,11274-20180725154052_v68.11,,218 Sandringham Rd,0,8308
-36.89438,merged_30,174.66577,21299-20180725154052_v68.11,,,Brains Rd/Brains Park,1,21299
-36.91772,merged_30,174.58818,5315-20180725154052_v68.11,21245-20180725154052_v68.11,,253 Forest Hill Rd,0,5315
-36.90443,merged_29,174.83595,31488-20180702170310_v67.28,,,Barrack Rd/Boakes Rd,1,31488
-36.94505,merged_29,174.62991,21778-20180702170310_v67.28,,,/197 and 200 Woodlands Park Rd,1,21778
-36.63505,merged_29,174.74152,4645-20180702170310_v67.28,41755-20180702170310_v67.28,,663 Whangaparaoa Rd,0,4645
-36.76277,merged_29,174.75452,4439-20180702170310_v67.28,41354-20180702170310_v67.28,,13 Richards Ave,0,4439
-36.61469,merged_29,174.67877,49615-20180702170310_v67.28,,,Silverdale Interchange,1,49615
-36.91613,merged_29,174.78156,8740-20180702170310_v67.28,11581-20180702170310_v67.28,,136 Trafalgar St,0,8740
-36.89463,merged_29,174.70489,8242-20180702170310_v67.28,11248-20180702170310_v67.28,,1202 New North Rd,0,8242
-36.88344,merged_30,174.61308,5388-20180725154052_v68.11,21139-20180725154052_v68.11,,162 Sturges Rd,0,5388
-36.90333,merged_30,174.85624,8661-20180725154052_v68.11,31559-20180725154052_v68.11,,14 Church Cres,0,8661
-36.87787,merged_30,174.72915,11236-20180725154052_v68.11,,,New North Rd/St Lukes Rd,1,11236
-36.87109,merged_30,174.76135,8504-20180725154052_v68.11,11412-20180725154052_v68.11,,104 Mt Eden Rd,0,8504
-36.78084,merged_29,175.04592,61020-20180702170310_v67.28,,,Palm Rd near Palm Beach Store,1,61020
-36.75099,merged_30,174.71387,3635-20180725154052_v68.11,41473-20180725154052_v68.11,,65 Paul Matthews Rd,0,3635
-36.99573,merged_30,174.85396,6990-20180725154052_v68.11,51653-20180725154052_v68.11,,Opp 244 Cavendish Dr,0,6990
-36.9191,merged_30,174.70239,8351-20180725154052_v68.11,11198-20180725154052_v68.11,,459 Blockhouse Bay Rd,0,8351
-36.79489,merged_30,174.59498,21482-20180725154052_v68.11,,,State Highway 16/Kennedys Rd,1,21482
-36.93592,merged_29,174.67113,5142-20180702170310_v67.28,21412-20180702170310_v67.28,,Opp 71 Avonleigh Rd,0,5142
-36.90099,merged_30,174.89853,6074-20180725154052_v68.11,31885-20180725154052_v68.11,,346 Pakuranga Rd,0,6074
-36.69509,merged_29,174.74892,3007-20180702170310_v67.28,41617-20180702170310_v67.28,,13 County Rd,0,3007
-36.78084,merged_30,175.04592,61020-20180725154052_v68.11,,,Palm Rd near Palm Beach Store,1,61020
-36.88085,merged_29,174.80002,7414-20180702170310_v67.28,31902-20180702170310_v67.28,,444 Remuera Rd,0,7414
-36.96188,merged_30,174.78739,51454-20180725154052_v68.11,,,Mckenzie Rd/Valiant St,1,51454
-36.86362,merged_30,174.70265,11128-20180725154052_v68.11,,,Target St/Walker Park,1,11128
